case_id,joint_id,local_chamfer,sampled_gt,sampled_pred,version
dev_arm-ab15a75247,j1,0.0002558090698393728,544,909,V1
dev_arm-ab15a75247,j2,0.0002476432921963392,554,910,V1
dev_arm-ab15a75247,j3,0.0004455338037666008,424,248,V1
dev_arm-ab15a75247,j4,,447,0,V1
dev_arm-dcc2b0ce1e,joint_a1,0.00044252456107969233,773,180,V1
dev_arm-dcc2b0ce1e,joint_a2,0.0005188719294879618,816,158,V1
dev_arm-dcc2b0ce1e,joint_a3,0.0006012098255128305,632,203,V1
dev_arm-dcc2b0ce1e,joint_a4,0.0005540118023223274,635,171,V1
dev_arm-dcc2b0ce1e,joint_a5,,214,0,V1
dev_arm-dcc2b0ce1e,joint_a6,,164,0,V1
dev_arm-dcc2b0ce1e,joint_a6-flange,,164,0,V1
dev_arm-dcc2b0ce1e,base_link-base,0.0008534381556975651,235,653,V1
dev_arm-dcc2b0ce1e,flange-tool0,,164,0,V1
dev_arm-43fa322555,fr3_link0_sc_joint,,314,0,V1
dev_arm-43fa322555,fr3_link1_sc_joint,0.0008532564341185539,446,25,V1
dev_arm-43fa322555,fr3_joint1,0.0008532564341185539,446,25,V1
dev_arm-43fa322555,fr3_link2_sc_joint,0.0008532564341185539,446,25,V1
dev_arm-43fa322555,fr3_joint2,0.0008532564341185539,446,25,V1
dev_arm-43fa322555,fr3_link3_sc_joint,0.00035202291152658784,482,628,V1
dev_arm-43fa322555,fr3_joint3,0.00035202291152658784,482,628,V1
dev_arm-43fa322555,fr3_link4_sc_joint,0.00027160721722090315,564,648,V1
dev_arm-43fa322555,fr3_joint4,0.00027160721722090315,564,648,V1
dev_arm-43fa322555,fr3_link5_sc_joint,0.0018831309448429402,520,7,V1
dev_arm-43fa322555,fr3_joint5,0.0018831309448429402,520,7,V1
dev_arm-43fa322555,fr3_link6_sc_joint,0.0018831309448429402,520,7,V1
dev_arm-43fa322555,fr3_joint6,0.0018831309448429402,520,7,V1
dev_arm-43fa322555,fr3_link7_sc_joint,0.0014790421445544733,508,13,V1
dev_arm-43fa322555,fr3_joint7,0.0014790421445544733,508,13,V1
dev_arm-43fa322555,fr3_joint8,0.0008239564888987794,345,30,V1
dev_arm-551a9c392e,controller_box_fixed,0.00031943224046003554,396,1246,V1
dev_arm-551a9c392e,pedestal_feet_fixed,0.00031943224046003554,396,1246,V1
dev_arm-551a9c392e,torso_t0,0.00031943224046003554,396,1246,V1
dev_arm-551a9c392e,pedestal_fixed,0.00031943224046003554,396,1246,V1
dev_arm-551a9c392e,right_arm_mount,0.00031943224046003554,396,1246,V1
