dataset_id,graph_valid,joint_types,manufacturer,max_chain_depth,metadata_matched,n_actuated_joints,n_collision_mesh_refs,n_graph_roots,n_joints,n_links,n_links_with_mesh_visual,n_links_with_visual,n_primitive_visuals,n_resolved_visual_mesh_refs,n_visual_mesh_refs,name,nonfixed_visual_coverage,parse_error,parse_ok,qc_grade,relative_path,resolution_methods,resolved_visual_meshes,robot_xml_name,source,source_link,type,urdf_path,variant,visual_mesh_resolution_rate,xacro_generated,grade_rank,original_rank,native_rank,entity_id,n_available_records,available_sources,eligible_entity,manual_exclusion_reason,loaded_meshes,failed_meshes,mesh_load_errors,feature_ok,total_faces,total_vertices,total_surface_area,watertight_mesh_fraction,total_mesh_bodies,normal_entropy,dihedral_q90_deg,sharp_edge_rate_15deg,sharp_edge_rate_30deg,preliminary_complexity_score,complexity_stratum
157,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,CRB 15000,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_crb15000_support\urdf\crb15000_5_95.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_6.stl""]",abb_crb15000_5_95,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_crb15000_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_crb15000_support\urdf\crb15000_5_95.urdf,original,1.0,True,2,1,0,arm-fdadfa8bdd,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,52539.0,31699.0,0.9187670001433749,0.0,17.0,0.8392132536700998,34.135401142682944,0.1472480269046617,0.09654661691374967,0.04516148528464381,medium
4,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 120,1.0,,True,A,matlab\abb_irb120_support\urdf\abbIrb120.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120_3_58,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb120_support\urdf\abbIrb120.urdf,original,1.0,False,2,1,1,arm-f7b0b901d3,1,"[""matlab""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962183,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.18353611674207324,medium
160,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 120-3/0.6,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120_3_58.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120_3_58,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb120_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120_3_58.urdf,original,1.0,True,2,1,0,arm-7d8304122a,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962183,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.18353611674207324,medium
158,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 1200-5/0.9,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_5_90.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\base_link.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_2.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_3.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_4.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_5.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_6.dae""]",abb_irb1200_5_90,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb1200_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_5_90.urdf,original,1.0,True,2,1,0,arm-d23914e41d,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,92843.0,49586.0,1.4114082270743697,0.42857142857142855,466.0,0.7595311669047922,46.17479226164665,0.25845916216226833,0.11411091428256423,0.028081951251653737,medium
159,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 1200-7/0.7,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_7_70.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\base_link.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_4.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_5.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_6.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_7_70\\visual\\link_2.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_7_70\\visual\\link_3.dae""]",abb_irb1200_7_70,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb1200_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_7_70.urdf,original,1.0,True,2,1,0,arm-402d7168a6,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,78918.0,42559.0,1.3498742827185433,0.42857142857142855,434.0,0.7711762314396198,60.45651438277347,0.2631680815575545,0.1317277426717762,0.18565720554061596,high
5,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 120T,1.0,,True,A,matlab\abb_irb120_support\urdf\abbIrb120T.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120t_3_58,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb120_support\urdf\abbIrb120T.urdf,original,1.0,False,2,1,1,arm-936a2bbc83,1,"[""matlab""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962183,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.18353611674207324,medium
161,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 120T-3/0.6,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120t_3_58.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120t_3_58,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb120_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120t_3_58.urdf,original,1.0,True,2,1,0,arm-30008f0a9e,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962183,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.18353611674207324,medium
111,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 140,1.0,,True,A,robotics-toolbox\abb_irb140\urdf\irb140.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_6.stl""]",abb_irb140,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/abb_irb140,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\urdf\irb140.urdf,original,1.0,False,2,1,1,arm-d8cf128269,1,"[""robotics-toolbox""]",True,,7.0,0.0,[],True,19652.0,9827.0,28.08539053492061,0.8571428571428571,8.0,0.7315255747459376,89.27485860647053,0.43827702865309265,0.3380910534637693,0.5780345529633112,high
112,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 140T,1.0,,True,A,robotics-toolbox\abb_irb140\urdf\irb140QT.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_6.stl""]",abb_irb140,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/abb_irb140,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\urdf\irb140QT.urdf,original,1.0,False,2,1,1,arm-f86e598566,1,"[""robotics-toolbox""]",True,,7.0,0.0,[],True,19652.0,9827.0,28.08539053492061,0.8571428571428571,8.0,0.7315255747459376,89.27485860647053,0.43827702865309265,0.3380910534637693,0.5780345529633112,high
6,True,"{""fixed"": 1, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,7.0,8.0,7.0,7.0,0.0,7.0,7.0,IRB 1600,1.0,,True,A,matlab\abb_irb1600_support\urdf\abbIrb1600.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_6.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600_6_12\\visual\\link_2.stl""]",abb_irb1600_6_12,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\urdf\abbIrb1600.urdf,original,1.0,False,2,1,1,arm-4e79777e86,1,"[""matlab""]",True,,6.0,1.0,"[""link_3.stl: ModuleNotFoundError: No module named 'networkx'""]",True,14656.0,7917.0,2.3788163228100063,0.0,6.0,0.7021424687185407,88.13182065287192,0.36474746320795437,0.32709524350516317,0.3029058175069395,high
